time,year,FIN,SWE,NOR,DEN,BAL
02.01.2018 02:00 - 02.01.2018 03:00,2018,9271,14524,15814,2780,2401
02.01.2018 03:00 - 02.01.2018 04:00,2018,9304,14667,15909,2793,2418
02.01.2018 04:00 - 02.01.2018 05:00,2018,9584,15629,16109,2908,2546
02.01.2018 05:00 - 02.01.2018 06:00,2018,10326,16426,16493,3101,2890
02.01.2018 06:00 - 02.01.2018 07:00,2018,10758,16859,17890,3648,3282
02.01.2018 07:00 - 02.01.2018 08:00,2018,11049,18792,19451,4226,3574
02.01.2018 08:00 - 02.01.2018 09:00,2018,11113,19284,19978,4596,3705
02.01.2018 09:00 - 02.01.2018 10:00,2018,11070,19374,20046,4694,3798
02.01.2018 10:00 - 02.01.2018 11:00,2018,11095,19799,20385,4773,3859
02.01.2018 11:00 - 02.01.2018 12:00,2018,11166,19915,20417,4735,3876
02.01.2018 12:00 - 02.01.2018 13:00,2018,11126,19881,20479,4638,3892
02.01.2018 13:00 - 02.01.2018 14:00,2018,11154,19743,20463,4632,3834
02.01.2018 14:00 - 02.01.2018 15:00,2018,11322,19846,20147,4617,3865
02.01.2018 15:00 - 02.01.2018 16:00,2018,11514,20361,20420,4597,4002
02.01.2018 16:00 - 02.01.2018 17:00,2018,11507,20540,20709,4917,4006
02.01.2018 17:00 - 02.01.2018 18:00,2018,11489,20741,20644,5276,3926
02.01.2018 18:00 - 02.01.2018 19:00,2018,11451,20642,20329,5018,3833
02.01.2018 19:00 - 02.01.2018 20:00,2018,11262,19918,20119,4640,3704
02.01.2018 20:00 - 02.01.2018 21:00,2018,10711,18988,19746,4300,3507
02.01.2018 21:00 - 02.01.2018 22:00,2018,10851,18278,19355,4045,3218
02.01.2018 22:00 - 02.01.2018 23:00,2018,10678,17253,18503,3733,2935
02.01.2018 23:00 - 03.01.2018 00:00,2018,10094,16480,17875,3449,2790
03.01.2018 00:00 - 03.01.2018 01:00,2018,9669,15756,17267,3269,2585
03.01.2018 01:00 - 03.01.2018 02:00,2018,9379,15387,16947,3147,2521
03.01.2018 02:00 - 03.01.2018 03:00,2018,9338,15362,16877,3009,2494
03.01.2018 03:00 - 03.01.2018 04:00,2018,9328,15220,16903,2960,2492
03.01.2018 04:00 - 03.01.2018 05:00,2018,9579,15365,17033,3078,2612
03.01.2018 05:00 - 03.01.2018 06:00,2018,10330,15869,17492,3448,2963
03.01.2018 06:00 - 03.01.2018 07:00,2018,10799,17343,18845,3967,3346
03.01.2018 07:00 - 03.01.2018 08:00,2018,11165,18561,20429,4640,3630
03.01.2018 08:00 - 03.01.2018 09:00,2018,11199,19286,20925,5027,3776
03.01.2018 09:00 - 03.01.2018 10:00,2018,11008,19485,20865,5077,3877
03.01.2018 10:00 - 03.01.2018 11:00,2018,11110,20175,20939,5167,3894
03.01.2018 11:00 - 03.01.2018 12:00,2018,11131,20147,20870,5122,3855
03.01.2018 12:00 - 03.01.2018 13:00,2018,11071,20369,20777,5059,3889
03.01.2018 13:00 - 03.01.2018 14:00,2018,11179,20484,20744,5052,3851
03.01.2018 14:00 - 03.01.2018 15:00,2018,11467,20884,20982,4987,3816
03.01.2018 15:00 - 03.01.2018 16:00,2018,11576,21123,21167,4913,3964
03.01.2018 16:00 - 03.01.2018 17:00,2018,11573,21419,21342,5115,4011
03.01.2018 17:00 - 03.01.2018 18:00,2018,11512,21465,21219,5447,4000
03.01.2018 18:00 - 03.01.2018 19:00,2018,11497,21104,20855,5262,3875
03.01.2018 19:00 - 03.01.2018 20:00,2018,11321,20550,20614,4917,3740
03.01.2018 20:00 - 03.01.2018 21:00,2018,10811,19776,20192,4573,3541
03.01.2018 21:00 - 03.01.2018 22:00,2018,10886,18875,19765,4279,3265
03.01.2018 22:00 - 03.01.2018 23:00,2018,10638,18172,19062,3968,2980
03.01.2018 23:00 - 04.01.2018 00:00,2018,10222,17205,18237,3626,2782
04.01.2018 00:00 - 04.01.2018 01:00,2018,9799,16231,17576,3404,2712
04.01.2018 01:00 - 04.01.2018 02:00,2018,9632,16075,17055,3249,2647
04.01.2018 02:00 - 04.01.2018 03:00,2018,9553,15853,16928,3182,2625
04.01.2018 03:00 - 04.01.2018 04:00,2018,9598,15679,16906,3193,2653
04.01.2018 04:00 - 04.01.2018 05:00,2018,9835,15798,17002,3244,2775
04.01.2018 05:00 - 04.01.2018 06:00,2018,10690,16708,17471,3509,3221
