time,year,FIN,SWE,NOR,DEN,BAL
05.01.2018 12:00 - 05.01.2018 13:00,2018,0.481164472,0.411751962,0.32895844,0.143699256,0.768856484
05.01.2018 13:00 - 05.01.2018 14:00,2018,0.459489274,0.412564396,0.327964314,0.155844634,0.753068352
05.01.2018 14:00 - 05.01.2018 15:00,2018,0.440267722,0.40936408,0.336556759,0.160636237,0.746460141
05.01.2018 15:00 - 05.01.2018 16:00,2018,0.412766593,0.403670698,0.333727626,0.157900359,0.733210444
05.01.2018 16:00 - 05.01.2018 17:00,2018,0.383298952,0.405857205,0.346746416,0.154938903,0.70599072
05.01.2018 17:00 - 05.01.2018 18:00,2018,0.360971143,0.408288128,0.375597013,0.152228693,0.677414379
05.01.2018 18:00 - 05.01.2018 19:00,2018,0.349420804,0.410731665,0.41717665,0.145164789,0.6485627
05.01.2018 19:00 - 05.01.2018 20:00,2018,0.344662512,0.413672081,0.446878936,0.12370958,0.624253482
05.01.2018 20:00 - 05.01.2018 21:00,2018,0.338909013,0.416976579,0.455555163,0.112709909,0.585646962
05.01.2018 21:00 - 05.01.2018 22:00,2018,0.338791641,0.42073085,0.458981635,0.117763687,0.547404558
05.01.2018 22:00 - 05.01.2018 23:00,2018,0.349459786,0.430626987,0.447083144,0.132858552,0.522289582
05.01.2018 23:00 - 06.01.2018 00:00,2018,0.373100868,0.424261582,0.443719681,0.119516032,0.494093004
06.01.2018 00:00 - 06.01.2018 01:00,2018,0.390505429,0.411325708,0.46474601,0.10317397,0.489634161
06.01.2018 01:00 - 06.01.2018 02:00,2018,0.408772827,0.411313024,0.487655733,0.092241978,0.491747371
06.01.2018 02:00 - 06.01.2018 03:00,2018,0.426135898,0.407149873,0.486010866,0.088958282,0.485783432
06.01.2018 03:00 - 06.01.2018 04:00,2018,0.440242468,0.411149996,0.466390265,0.08324817,0.476924826
06.01.2018 04:00 - 06.01.2018 05:00,2018,0.452851256,0.420256259,0.452688929,0.090100433,0.464797005
06.01.2018 05:00 - 06.01.2018 06:00,2018,0.458290025,0.431946924,0.439689712,0.100575596,0.457550519
06.01.2018 06:00 - 06.01.2018 07:00,2018,0.464800188,0.441561283,0.432587545,0.108955767,0.449318254
06.01.2018 07:00 - 06.01.2018 08:00,2018,0.470763254,0.44934505,0.436148058,0.123922002,0.442490129
