Avail_Sol,Avail_Wind_On,Avail_Wind_Off
0.027171189,0.11588399,0.161580741
0.095822033,0.124888787,0.16680393
0.126622121,0.121303888,0.161197055
0.150108179,0.122318232,0.16508028
0.161146536,0.127162442,0.184526825
0.108543442,0.126521786,0.194750688
0.019882964,0.123334155,0.192466562
4.19E-06,0.120529775,0.189348031
0,0.11995939,0.184497996
0,0.116806659,0.173522919
0,0.101250625,0.146168534
0,0.093940202,0.131479616
0,0.096653374,0.138873999
0,0.106990424,0.158726679
0,0.097041099,0.141990965
0,0.087580579,0.118767361
0,0.084675138,0.099808817
0,0.082744087,0.095172477
0,0.077093493,0.089402846
0,0.079499128,0.100701738
0,0.083195644,0.117955548
0,0.089495593,0.12841594
0,0.100296864,0.14754714
8.80E-05,0.120046144,0.189302182
0.030215398,0.127218358,0.237620844
0.134076759,0.121677302,0.302585457
0.207334281,0.129399936,0.320093358
0.278073323,0.141541134,0.339834299
0.292427723,0.175592101,0.382600471
0.256563816,0.209504776,0.438186435
0.045299467,0.267831874,0.52540192
8.76E-06,0.320117627,0.589549487
0,0.36051052,0.626404558
0,0.385669111,0.636648818
0,0.391375646,0.605025207
0,0.371834465,0.551055016
0,0.331491819,0.484310385
0,0.275154431,0.393370416
0,0.239745975,0.313889392
0,0.204694862,0.249179301
0,0.178838481,0.206993726
0,0.144249897,0.172745681
0,0.106510906,0.128860274
0,0.083824498,0.100083123
0,0.075024201,0.090860434
0,0.07295265,0.084033479
0,0.075117157,0.086002908
0.000232849,0.08656725,0.103692616
0.125340452,0.102627451,0.151625038
0.391759974,0.12622928,0.224755815
0.505555842,0.139704948,0.292194944
0.540108669,0.162929979,0.353552825
0.496709729,0.190322503,0.396094453
0.375082034,0.217222362,0.417721579
0.074810703,0.25056196,0.429258097
1.95E-05,0.271010065,0.444189068
0,0.2828577,0.458778227
0,0.297335327,0.478922589
0,0.30199049,0.490404471
0,0.30278103,0.490171238
0,0.299608278,0.485376816
0,0.286413352,0.471005719
0,0.274261945,0.478853387
0,0.268793512,0.477042199
0,0.256000079,0.45928678
0,0.234322152,0.42592219
0,0.215450787,0.385709569
0,0.193898957,0.342054566
0,0.172020579,0.29454696
0,0.157562355,0.25018628
0,0.144488341,0.202292618
0.000221719,0.136138287,0.171666318
0.065110019,0.125722369,0.16369957
0.230573525,0.10088474,0.120843986
0.310318483,0.090312986,0.110109139
0.328356858,0.084411365,0.095009095
0.300086984,0.083818298,0.083825933
0.21286807,0.092069574,0.084832558
0.042350739,0.110498141,0.093285109
2.71E-05,0.139207402,0.112790131
0,0.179491638,0.150053992
0,0.228553133,0.20079337
0,0.283499812,0.264193508
0,0.333790041,0.319795553
0,0.389095417,0.364953042
0,0.459412807,0.408989175
0,0.534957611,0.474427883
0,0.59801781,0.53337099
0,0.648148844,0.608935884
0,0.694164269,0.687613653
0,0.726356597,0.732375309
0,0.760745703,0.7676725
0,0.796701918,0.819646231
0,0.83284584,0.867218629
0,0.859516002,0.890137973
0.000296472,0.874742851,0.900010367
0.124818827,0.88480288,0.904358684
0.341163655,0.900837878,0.917555988
0.442046454,0.910802427,0.925498293
0.455841014,0.916645094,0.931749966
0.380657066,0.9181123,0.935155907
0.243132619,0.914901082,0.93624182
0.038687745,0.912925305,0.936415155
3.42E-05,0.908400749,0.936019761
0,0.897715236,0.935162779
0,0.875907744,0.931729502
0,0.845445466,0.926996557
0,0.817145929,0.920047925
0,0.791153835,0.916165141
0,0.707530538,0.890078802
0,0.682500469,0.870542397
0,0.678567533,0.850354362
0,0.649799573,0.832514177
0,0.584650526,0.793199754
0,0.521157277,0.764999918
0,0.460988115,0.706884531
0,0.449954601,0.671876278
0,0.42875338,0.656477989
0,0.412966793,0.640111786
7.69E-05,0.400788329,0.625267309
0.004803391,0.344125752,0.605491528
0.011025202,0.276865939,0.528814941
0.020650384,0.245365587,0.490744464
0.030813587,0.237814514,0.475567916
0.029811554,0.239779807,0.480705645
0.027217546,0.250602256,0.482220918
0.008760119,0.274372132,0.501192801
4.23E-05,0.310011311,0.51783575
0,0.32653468,0.504297347
0,0.278535132,0.507394224
0,0.273030008,0.457226613
0,0.300069962,0.37212436
0,0.249087975,0.302142944
0,0.194503629,0.25523006
0,0.150697129,0.239766671
0,0.144409578,0.223004248
0,0.153271504,0.197221197
0,0.159054275,0.209203635
0,0.175190915,0.254428477
0,0.17829245,0.26210274
0,0.151366014,0.255793618
0,0.126367818,0.237497517
0,0.119914987,0.204995291
0.00013372,0.111577697,0.19098459
0.007760601,0.101657099,0.179147342
0.019042463,0.100257866,0.17186373
0.026116386,0.098806544,0.18465072
0.027817698,0.120032311,0.222515103
0.025550179,0.155208841,0.257223714
0.014199833,0.184768122,0.290398828
0.005581308,0.223722786,0.363394373
5.37E-05,0.236442594,0.400444228
0,0.258600728,0.429439729
0,0.280780941,0.44344997
0,0.299922849,0.461109392
0,0.311954725,0.472414805
0,0.334716159,0.497777913
0,0.327337276,0.441259278
0,0.353118841,0.471368392
0,0.373878273,0.489740498
0,0.392567385,0.503340065
0,0.406901521,0.52553388
0,0.408917502,0.544153303
0,0.417523955,0.559671133
